track_name,artist_name,genre,popularity,danceability,energy,loudness,acousticness,valence,tempo,speechiness,liveness,instrumentalness,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster
My Time's Comin',A Thousand Horses,Country,45,0.327,0.835,-4.952,0.00192,0.385,171.795,0.0609,0.167,0.00015,1,1,0
House Tour,Mark Mothersbaugh,Soundtrack,25,0.253,0.0798,-18.512,0.932,0.0487,110.931,0.0439,0.0906,0.568,2,0,0
We Can't Fall (Remix) [feat. J. Patz],Unified Highway,Reggae,19,0.821,0.737,-6.295,0.0331,0.787,137.968,0.212,0.132,0.0134,1,1,0
Endz - Original Mix,Stooki Sound,Electronic,29,0.745,0.772,-3.949,0.00428,0.17,133.113,0.0904,0.0722,0.114,1,1,0
I Love My Job (Live),Bill Hicks,Comedy,17,0.502,0.804,-9.935,0.965,0.185,104.576,0.807,0.902,9.56e-05,0,2,0
How Much Is That Doggy In The Window?,Sugar Kane Music,Children's Music,16,0.787,0.224,-9.607,0.715,0.657,146.054,0.0366,0.138,0.0,1,0,0
Morning Light,Justin Timberlake,Pop,63,0.62,0.497,-9.585,0.382,0.55,155.908,0.119,0.193,0.0482,1,1,0
Chunk Up the Deuce (feat. U.G.K. & Paul Wall),Lil Keke,Hip-Hop,51,0.929,0.61,-6.064,0.0298,0.868,136.081,0.321,0.0958,0.0,1,1,0
Get Up,Cole Swindell,Country,41,0.57,0.715,-3.399,0.0709,0.831,148.032,0.044,0.0745,0.0,1,1,0
Something About You - ODESZA Remix,Hayden James,Soul,65,0.709,0.669,-8.422,0.0216,0.106,105.004,0.0409,0.146,0.0125,1,1,0
Wash Yo' Ass,Martin Lawrence,Comedy,18,0.648,0.414,-20.418,0.66,0.524,88.283,0.949,0.882,0.0,0,2,0
Where Have You Been - Live,Reel Big Fish,Ska,19,0.529,0.643,-7.51,0.167,0.664,96.536,0.0415,0.355,5.78e-06,1,1,0
teddy bear,Ayumi Hamasaki,Anime,27,0.543,0.339,-8.523,0.938,0.367,110.981,0.0365,0.351,1.12e-05,2,0,0
Tied Up,LEISURE,R&B,20,0.807,0.594,-7.945,0.175,0.83,130.086,0.0295,0.32,0.0591,1,1,0
East Bay Night - Acoustic,Rancid,Ska,27,0.631,0.66,-7.478,0.8,0.614,97.159,0.0257,0.137,0.0,1,1,0
Veins,Palace,Soul,47,0.429,0.273,-9.719,0.349,0.112,110.161,0.0287,0.111,0.0384,2,0,0
Handel: Rodelinda: Ritorna o caro,Dame Joan Sutherland,Opera,10,0.249,0.257,-15.19,0.963,0.115,79.599,0.0445,0.12,0.111,2,0,0
Pimper's Paradise,Bob Marley & The Wailers,Reggae,65,0.939,0.642,-8.189,0.00499,0.967,134.709,0.0525,0.0427,0.0,1,1,0
Basic,Sigrid,Dance,0,0.674,0.531,-6.941,0.121,0.17,129.939,0.0516,0.197,0.0,1,1,0
Parking Lot,HUNNY,Rock,51,0.498,0.844,-5.163,0.00303,0.469,103.97,0.0474,0.355,0.0,1,1,0
Sufferin' In The Land,Jimmy Cliff,Ska,21,0.873,0.391,-15.117,0.145,0.982,119.628,0.0422,0.15,3.7e-05,1,1,0
Earth Alert,Richie Spice,Reggae,0,0.81,0.44,-7.745,0.134,0.706,142.543,0.21,0.0992,2.98e-05,1,1,0
I Know What I Have To Do,Jeff Beal,Soundtrack,35,0.236,0.117,-23.925,0.949,0.071,70.196,0.0317,0.123,0.854,2,0,0
A Steep But Beautiful Climb,Randy Edelman,Soundtrack,31,0.34,0.134,-16.512,0.987,0.198,81.047,0.0323,0.0959,0.906,2,0,0
Wonder,Natalie Merchant,Folk,53,0.719,0.739,-5.577,0.346,0.603,115.142,0.0419,0.0581,0.0102,1,1,0
Tactics - Remastered,THE YELLOW MONKEY,Anime,29,0.523,0.96,-3.532,0.00305,0.675,117.168,0.0701,0.301,1.4e-06,1,1,0
Terror,8 Kalacas,Ska,19,0.307,0.978,-6.321,4.58e-06,0.81,143.482,0.121,0.0553,3.81e-05,1,1,0
Knife Prty,Deftones,Rock,55,0.295,0.883,-3.897,0.00025,0.118,74.483,0.0446,0.137,0.0234,1,1,0
Self Reliance,Demarco,Reggae,33,0.553,0.733,-6.654,0.0341,0.281,124.185,0.356,0.172,0.0,1,1,0
Everything Is Alright,Motion City Soundtrack,Pop,64,0.435,0.95,-3.869,0.000494,0.457,160.987,0.106,0.317,0.0,1,1,0
Gringo Honeymoon,Robert Earl Keen,Country,38,0.503,0.614,-10.875,0.156,0.493,108.631,0.0296,0.604,8.89e-05,1,1,0
Your Biggest Fan,Never Shout Never,Children’s Music,46,0.738,0.308,-7.242,0.944,0.531,124.979,0.0419,0.131,0.0,1,0,0
Just Sayin/I Tried,The Internet,Alternative,50,0.489,0.506,-10.251,0.427,0.431,95.528,0.177,0.12,0.0862,1,1,0
Stone Rollin',Raphael Saadiq,Soul,35,0.66,0.806,-4.495,0.00404,0.75,99.987,0.0246,0.0704,0.0087,1,1,0
Modern Slavery,Huncho Jack,Rap,68,0.737,0.737,-3.72,0.00158,0.5,134.066,0.238,0.28,0.0,1,1,0
You Won't See Me,Music For Little People Choir,Children's Music,0,0.701,0.739,-6.547,0.0729,0.687,120.004,0.0291,0.0805,0.000333,1,1,0
Restless,Jinsang,R&B,44,0.737,0.259,-18.901,0.506,0.42,149.106,0.423,0.0893,0.135,1,1,0
Here I Am To Worship - Live,Passion,World,30,0.367,0.496,-9.038,0.0996,0.197,76.069,0.0356,0.676,0.0,1,1,0
show me,San Holo,Electronic,61,0.474,0.731,-5.582,0.235,0.0876,135.056,0.0406,0.223,0.00536,1,1,0
3 Gymnopedies (orch. Debussy): Gymnopedie No. 2,Erik Satie,Classical,43,0.092,0.0239,-31.457,0.936,0.0541,67.289,0.0488,0.18,0.902,2,0,0
Let Go Today,Shoffy,R&B,61,0.84,0.193,-11.186,0.182,0.204,99.99,0.0696,0.173,0.0,1,1,0
My Way (A Mi Manera),Robin Williams,Comedy,39,0.475,0.795,-5.005,0.375,0.412,95.518,0.0824,0.316,0.0,1,0,0
Monster Hunter,Capcom Sound Team,Anime,21,0.294,0.652,-5.36,0.706,0.212,76.006,0.036,0.116,0.823,2,1,0
Deep Love,Lady Lamb,Indie,45,0.496,0.469,-6.619,0.366,0.259,137.833,0.0352,0.133,0.0,1,0,0
Lohengrin: Prelude to Act 1,Richard Wagner,Opera,13,0.0942,0.0341,-26.675,0.92,0.0288,84.676,0.04,0.277,0.953,2,0,0
Santa Baby,Kellie Pickler,Country,38,0.705,0.44,-4.452,0.486,0.453,86.008,0.0254,0.113,0.0,1,0,0
The Road of Trials,Austin Wintory,Soundtrack,44,0.34,0.386,-16.785,0.889,0.234,151.964,0.0378,0.252,0.905,2,0,0
